employee_id,first_name,last_name,email,gender,department,job_title,hire_date,exit_date,is_active,salary,currency,country,state,city,manager_id,performance_score
1001, Ken,Naidoo,ken.naidoo@example.com,Male,HR,Sales Rep,2017-05-29 00:00:00,,1.0,55286.31,GBP,south-africa,Western Cape,,,
1002,Sam,Smith,sam.smith@mail.com,M,H.R.,Sales Rep,04-27-2016,,1.0,29408.75,GBP,south-africa,,Johannesburg,1001.0,C
1003, Oscar ,Mthembu ,oscar.mthembu@mail.com,Male,Ops,Engineer,2015-02-12 00:00:00,,0.0,35393.84,$,SA,KZN,Cape Town,,
1004, Sam ,Brown ,sam.brown@example,M,Sales,Senior Analyst,01-19-2016,,1.0,39890.2,Â£,USA,KZN,,1003.0,C
1005,Faith ,Mthembu,faith.mthembu@mail.com,M,H.R.,Engineer,06-18-2019,2022-01-22,,25532.92,GBP,United Kingdom,,Polokwane,,B
1006,Esi,Dlamini,esi.dlaminimail.com,M,IT,Manager,2017-12-12 00:00:00,,0.0,35024.79,GBP,South Africa,Limpopo,,1005.0,D
1007, David,Zuma,david.zuma@example.com,M,Sales,Manager,2016-03-26 00:00:00,2017-02-28,,34989.32,R,U.K.,Western Cape,,1003.0,A
1008, David ,Nguyen ,david.nguyen@example,Other,H.R.,Senior Analyst,2018-04-11 00:00:00,,1.0,13943.31,Â£,United States,Gauteng,,1006.0,
1009, Liam,Naidoo ,liam.naidoo@mail.com,Other,Operations,Engineer,2017-07-09 00:00:00,2020-09-01,,47211.9,$,United Kingdom,Western Cape,,1006.0,C
1010,Chipo,Nkosi ,chipo.nkosi@mail.com,M,Sales,Analyst,05-17-2020,,1.0,42205.98,$,SA,Limpopo,,1002.0,D
1011,Mai,van Wyk,mai.van wykmail.com,F,IT,Accountant,2022-05-10 00:00:00,,0.0,27494.85,R,South Africa,Gauteng,,,B
1012,Nia,Nguyen,nia.nguyen@company.co.za,F,sales,Engineer,07-30-2021,,1.0,32941.42,GBP,United States,Limpopo,,,B
1013,Que ,Khan,que.khan@example.com,F,H.R.,Manager,2016-02-08 00:00:00,,0.0,41063.59,ZAR,United States,Gauteng,Cape Town,1001.0,D
1014,Rae ,Moyo ,rae.moyo@mail.com,Female,Sales,Sales Rep,12-24-2020,2023-12-30,,31863.72,R,USA,Western Cape,Polokwane,1008.0,D
1015, Chipo,Nkosi,chipo.nkosi@company.co.za,Other,H.R.,Accountant,2017-06-18 00:00:00,,1.0,32087.01,$,United States,Limpopo,Durban,1006.0,A
1016, Ken ,Khan,ken.khan@example,Other,IT,Data Scientist,2020-09-29 00:00:00,,1.0,17561.1,ZAR,SA,KZN,,1007.0,D
1017, Esi ,Khan,esi.khancompany.co.za,Other,Ops,Manager,2019-10-09 00:00:00,2020-05-07,,41654.96,ZAR,USA,Gauteng,Durban,,
1018,Esi,Moyo,esi.moyocompany.co.za,Female,Finance,Data Scientist,01-19-2022,,1.0,36486.57,ZAR,South Africa,Gauteng,,1007.0,D
1019, David ,Govender ,david.govender@company.co.za,Male,Finance,Clerk,03-24-2017,,0.0,38293.52,ZAR,south-africa,,,,A
1020, Vin ,Nguyen,vin.nguyencompany.co.za,Female,H.R.,Manager,2018-01-06 00:00:00,,0.0,16681.71,USD,SA,Gauteng,Durban,1016.0,B
1021,Que,Brown ,que.brown@example.com,F,IT,Analyst,2019-06-02 00:00:00,,1.0,54808.4,R,U.K.,KZN,,,B
1022, Bob,Nguyen,bob.nguyen@mail.com,Male,HR,Manager,2022-02-22 00:00:00,,1.0,36852.03,$,United Kingdom,Gauteng,Polokwane,1017.0,
1023, Chipo ,van Wyk,chipo.van wyk@company.co.za,Other,Operations,Engineer,2017-03-08 00:00:00,,0.0,30354.32,ZAR,ZA,Gauteng,Pretoria,1009.0,
1024,Sam ,Naidoo,sam.naidoo@example,M,Information Technology,Senior Analyst,2022-06-10 00:00:00,,0.0,59348.87,GBP,ZA,KZN,Johannesburg,999999.0,A
1025, Abel ,Khan ,abel.khan@mail.com,M,Finance,Senior Analyst,2021-07-09 00:00:00,,0.0,34455.37,GBP,United Kingdom,Gauteng,,1016.0,D
1026,Alice ,Naidoo ,alice.naidoo@example,F,H.R.,HR Officer,2018-11-09 00:00:00,,0.0,17591.86,R,South Africa,,Durban,1003.0,A
1027, Liam,Smith ,liam.smithexample.com,M,Information Technology,Data Scientist,2022-02-13 00:00:00,,0.0,30137.27,ZAR,U.K.,,Pretoria,999999.0,D
1028,Tari ,Brown ,tari.brown@example.com,M,sales,Manager,11-30-2016,,0.0,7540.22,Â£,U.K.,Gauteng,Cape Town,1003.0,
1029, Henry ,Zuma ,henry.zuma@mail.com,Male,Finance,Senior Analyst,2016-12-16 00:00:00,2018-06-28,,380742.08,$,U.K.,,Pretoria,1009.0,D
1030, Isaac,Mthembu,isaac.mthembu@example.com,M,Finance,HR Officer,06-26-2019,,1.0,30002.31,$,USA,Gauteng,Johannesburg,1027.0,D
1031,Henry,Brown,henry.brown@mail.com,Male,Information Technology,Senior Analyst,2022-11-11 00:00:00,,1.0,-26089.36,ZAR,United Kingdom,Western Cape,,1021.0,A
1032,Chipo ,Pillay ,chipo.pillay@mail.com,M,HR,Analyst,2021-10-01 00:00:00,,1.0,47869.64,$,United Kingdom,Gauteng,Johannesburg,1029.0,A
1033, Isaac ,Nkosi,isaac.nkosiexample,F,Engineering,HR Officer,2019-01-24 00:00:00,,1.0,15187.09,R,ZA,Limpopo,Cape Town,1019.0,D
1034,Tari ,Naidoo ,tari.naidoo@example.com,F,H.R.,HR Officer,2015-11-08 00:00:00,2015-12-25,,41425.15,USD,south-africa,Gauteng,Cape Town,1012.0,D
1035, Bob ,Pillay ,bob.pillay@example,M,HR,Senior Analyst,2018-02-20 00:00:00,,1.0,10227.02,USD,U.K.,Gauteng,Johannesburg,1013.0,B
1036, Ken,Ndlovu ,ken.ndlovu@mail.com,Other,Operations,HR Officer,06-16-2015,,1.0,27054.09,USD,UK,KZN,Durban,,C
1037,Isaac,Pillay,isaac.pillay@mail.com,Other,Ops,Accountant,2019-03-05 00:00:00,,1.0,20549.36,Â£,United Kingdom,,,1016.0,D
1038,Liam,Brown ,liam.brown@mail.com,Female,Human Resources,Analyst,05-27-2020,,1.0,52543.71,ZAR,U.K.,Limpopo,,,D
1039,Oscar,Mthembu ,oscar.mthembu@company.co.za,Male,FIN,Clerk,2017-11-06 00:00:00,2019-04-22,,56193.93,ZAR,U.K.,KZN,Cape Town,1015.0,D
1040,Bob ,Dlamini,bob.dlamini@example,Other,HR,Data Scientist,2017-08-11 00:00:00,2022-05-02,,31047.03,$,United Kingdom,,Johannesburg,1039.0,B
1041, Bob,Ndlovu,bob.ndlovu@mail.com,F,HR,Engineer,02-16-2015,,0.0,360710.4,$,south-africa,Limpopo,Johannesburg,1036.0,A
1042, Una ,Naidoo ,una.naidoo@company.co.za,Female,Eng,Analyst,2018-03-07 00:00:00,,1.0,32840.16,R,U.K.,,Polokwane,1001.0,D
1043,David ,Nguyen ,david.nguyen@example,Male,H.R.,Analyst,07-31-2015,,1.0,41816.74,R,SA,KZN,Durban,1011.0,D
1044,Pat ,Brown,pat.brown@example.com,Female,Sales,Clerk,2015-07-08 00:00:00,2019-09-03,,25965.95,R,U.K.,,,1031.0,A
1045,Mai ,Khan ,mai.khan@example.com,Other,Ops,Engineer,06-18-2015,,0.0,14499.93,Â£,United Kingdom,,Polokwane,1016.0,D
1046,Que,Zuma,que.zuma@example,F,Sales,Accountant,2017-05-01 00:00:00,2019-02-08,,13362.82,ZAR,South Africa,,Cape Town,1021.0,A
1047, Bob,Brown,bob.brown@example.com,F,Ops,Senior Analyst,2017-03-04 00:00:00,,0.0,39597.46,Â£,ZA,Gauteng,,1017.0,C
1048, Chad,Nguyen ,chad.nguyen@example,M,FIN,Sales Rep,2017-08-30 00:00:00,2018-08-25,,61971.14,USD,south-africa,,Johannesburg,1024.0,
1049,Que ,Mthembu ,que.mthembu@company.co.za,F,Engineering,Manager,2019-01-15 00:00:00,2022-07-28,,-38232.94,Â£,UK,,Johannesburg,1015.0,D
1050, Nia,Khan,nia.khan@example,Female,Information Technology,Analyst,2015-04-02 00:00:00,,0.0,28704.74,GBP,United Kingdom,,Cape Town,1040.0,B
1051,Alice,Brown ,alice.brownexample.com,F,H.R.,Data Scientist,2019-05-07 00:00:00,2024-03-11,,57944.23,GBP,USA,Western Cape,Cape Town,999999.0,A
1052,Mai,Naidoo,mai.naidooexample.com,M,sales,Engineer,2016-05-08 00:00:00,,0.0,37847.62,USD,South Africa,,,999999.0,D
1053, Chipo,van Wyk,chipo.van wyk@example.com,F,Information Technology,Analyst,05-19-2016,,0.0,36217.21,$,United States,KZN,Durban,1014.0,A
1054,Faith,Pillay,faith.pillay@company.co.za,M,Eng,Clerk,09-28-2021,,0.0,38030.93,ZAR,U.K.,,Cape Town,1020.0,
1055,Sam,Dlamini,sam.dlamini@example.com,Male,IT,Manager,11-13-2018,2019-09-22,,33411.47,ZAR,UK,Western Cape,,,D
1056,David,Nkosi,david.nkosiexample.com,Other,Operations,Senior Analyst,01-30-2022,2026-08-08,,31286.28,ZAR,UK,KZN,Durban,1049.0,
1057, Que,Zuma ,que.zuma@example.com,M,Operations,Senior Analyst,2018-11-21 00:00:00,,1.0,17780.44,GBP,ZA,KZN,,999999.0,A
1058,Pat ,van Wyk ,pat.van wyk@company.co.za,Male,H.R.,Data Scientist,2017-05-29 00:00:00,2021-01-21,,41019.49,ZAR,UK,KZN,Johannesburg,1026.0,D
1059,Chad ,Govender,chad.govender@company.co.za,F,sales,Sales Rep,2016-01-12 00:00:00,2019-08-01,,33862.69,ZAR,UK,,Durban,1056.0,C
1060, Faith ,Zuma,faith.zuma@mail.com,Male,Information Technology,Engineer,2020-10-09 00:00:00,,1.0,49317.03,GBP,United States,KZN,Cape Town,1013.0,B
1061,Vin ,Dlamini,vin.dlamini@mail.com,Male,Ops,Data Scientist,2019-11-17 00:00:00,,0.0,30574.18,$,U.K.,,Cape Town,1041.0,B
1062, Isaac,Mthembu,isaac.mthembu@example,M,IT,HR Officer,07-25-2017,,1.0,12123.56,USD,United Kingdom,,,1027.0,B
1063, Isaac ,Nguyen ,isaac.nguyen@example.com,Female,Eng,Sales Rep,07-28-2022,,0.0,33804.67,ZAR,South Africa,KZN,Pretoria,1046.0,
1064, Liam,Dlamini ,liam.dlamini@example.com,Male,Engineering,Sales Rep,2018-05-11 00:00:00,2022-10-06,,55394.45,GBP,UK,,Johannesburg,1025.0,A
1065, Nia ,Smith,nia.smith@mail.com,Female,Eng,Sales Rep,06-15-2017,,1.0,30398.92,Â£,ZA,Limpopo,,1029.0,C
1066, Vin ,Govender ,vin.govender@mail.com,F,Sales,Clerk,2017-01-08 00:00:00,,0.0,24321.72,USD,UK,Western Cape,,1062.0,A
1067,Vin ,Ndlovu ,vin.ndlovu@example.com,M,IT,Clerk,07-29-2016,,1.0,20676.9,GBP,south-africa,,Cape Town,,C
1068,Zed ,Naidoo,zed.naidoo@example.com,Female,sales,Data Scientist,2017-03-19 00:00:00,2021-12-31,,22399.8,R,SA,Limpopo,Polokwane,1062.0,D
1069,Henry,Zuma,henry.zuma@company.co.za,Male,IT,Accountant,06-18-2022,,1.0,31397.68,ZAR,South Africa,,,,
1070,Pat,Zuma,pat.zuma@example,F,Engineering,Senior Analyst,05-23-2022,,1.0,20840.21,ZAR,United Kingdom,KZN,Durban,,C
1071, Bea,Khan ,bea.khan@example.com,M,Engineering,Data Scientist,2016-06-06 00:00:00,,1.0,52971.67,GBP,South Africa,Limpopo,Durban,1006.0,
1072,Yara ,Govender,yara.govender@example.com,Male,Information Technology,Accountant,2022-01-05 00:00:00,2022-04-20,,31608.38,R,United Kingdom,,,1039.0,C
1073,Alice ,Smith,alice.smith@example.com,Male,Eng,HR Officer,2020-01-03 00:00:00,,1.0,36303.78,Â£,USA,Western Cape,Cape Town,999999.0,A
1074,Grace,Nguyen ,grace.nguyen@example.com,Male,IT,Engineer,2020-01-21 00:00:00,2024-06-23,,52258.87,USD,United States,,Polokwane,1033.0,A
1075,Alice,Moyo ,alice.moyo@company.co.za,M,IT,Manager,06-15-2020,,0.0,53039.82,ZAR,UK,,Cape Town,1054.0,C
1076, Zed ,Brown ,zed.brown@example.com,Other,Information Technology,Clerk,2021-10-17 00:00:00,2026-07-18,,32447.2,Â£,U.K.,,,,A
1077, Ken ,Pillay,ken.pillay@example.com,M,H.R.,Manager,01-26-2018,,0.0,38983.69,$,ZA,,Cape Town,1008.0,B
1078,Isaac ,Mthembu ,isaac.mthembu@example.com,Other,Engineering,Senior Analyst,2017-11-08 00:00:00,,0.0,43820.32,R,south-africa,Western Cape,,1047.0,D
1079,Yara,Khan,yara.khan@example,Other,Human Resources,Clerk,2022-02-04 00:00:00,,1.0,32685.73,ZAR,ZA,,Polokwane,1028.0,D
1080,David ,Zuma,david.zuma@company.co.za,F,H.R.,HR Officer,2015-12-09 00:00:00,2018-02-03,,13663.85,ZAR,U.K.,Gauteng,,,B
1081, Una,Dlamini ,una.dlamini@mail.com,Female,Finance,Engineer,2016-12-06 00:00:00,,0.0,42856.47,ZAR,United Kingdom,,,1062.0,C
1082,Yara ,Moyo ,yara.moyo@example.com,Female,Engineering,Data Scientist,2019-05-17 00:00:00,,1.0,45732.23,ZAR,USA,,Cape Town,1021.0,A
1083, Tari,Nguyen ,tari.nguyen@example.com,Female,Eng,Analyst,2022-01-17 00:00:00,,0.0,39986.03,R,UK,Western Cape,,1058.0,D
1084, Bea ,Naidoo ,bea.naidoo@mail.com,Female,FIN,Data Scientist,2018-10-02 00:00:00,2021-05-23,,23917.46,Â£,ZA,,Polokwane,,C
1085,Nia,Pillay,nia.pillay@example,Female,H.R.,Analyst,2018-04-17 00:00:00,,0.0,32647.67,ZAR,United States,KZN,Cape Town,1006.0,C
